algorithm,horizon,seed,fold,symbol,status,reason,observations,netReturn,sharpe,maxDrawdown,expectedShortfall95,oodObservationRate,latencyP99Ms
cql_no_inventory_penalty,1,23,0,AVAXUSDT,failed,drawdown_limit,226,-0.0800968841480394,-1.4186480396296604,0.16199381078171637,0.019756297421266,0.0,0.07963925
cql_no_inventory_penalty,1,23,0,BNBUSDT,complete,,599,-0.04198464154298276,-0.32527332733157666,0.14158669037097937,0.013672313208974636,0.0,0.0662110399999999
cql_no_inventory_penalty,1,23,0,BTCUSDT,failed,drawdown_limit,279,-0.11532933097720632,-2.9652504357497675,0.15854294487320908,0.013240648239741819,0.0,0.03064867999999998
cql_no_inventory_penalty,1,23,0,DOGEUSDT,failed,drawdown_limit,279,-0.06113011705574556,-0.8702721900375252,0.15342733123517627,0.017821503099665268,0.0,0.0639525199999999
cql_no_inventory_penalty,1,23,0,ETHUSDT,failed,drawdown_limit,227,-0.08306011126844504,-2.277183610507654,0.15280596390242907,0.013756619379250387,0.0,0.04682158000000015
cql_no_inventory_penalty,1,23,0,LINKUSDT,failed,drawdown_limit,174,-0.08340792684303655,-2.6961256300979617,0.1539751421586515,0.015015389299227164,0.0,0.05356133000000001
cql_no_inventory_penalty,1,23,0,LTCUSDT,complete,,599,-0.01931309394239844,-0.052560252133811096,0.12463722583910275,0.01602779305708656,0.0,0.05091327999999991
cql_no_inventory_penalty,1,23,0,SOLUSDT,failed,drawdown_limit,174,-0.02884665380008633,-0.6948107306096598,0.15049909810773088,0.0165316879905528,0.0,0.053645670000000104
cql_no_inventory_penalty,1,23,0,XRPUSDT,failed,drawdown_limit,180,-0.1285993381065551,-4.633839892418913,0.15226029760268356,0.015679502670629158,0.0,0.06500410000000009
cql_no_inventory_penalty,1,47,0,ADAUSDT,failed,drawdown_limit,175,-0.05762213107055414,-1.605021572746502,0.15590466644013412,0.016173985854881896,0.0,0.07805631999999998
cql_no_inventory_penalty,1,47,0,AVAXUSDT,failed,drawdown_limit,173,-0.07230562528548168,-1.8720119950443572,0.15234816725488876,0.015948858911291868,0.0,0.06760036000000003
cql_no_inventory_penalty,1,47,0,BNBUSDT,failed,drawdown_limit,284,-0.11700891394152335,-2.3220962094215007,0.16095276322640106,0.015167672378213792,0.0,0.06307705000000015
cql_no_inventory_penalty,1,47,0,BTCUSDT,failed,drawdown_limit,279,-0.11532933097720632,-2.9652504357497675,0.15854294487320908,0.013240648239741819,0.0,0.04354195999999988
cql_no_inventory_penalty,1,47,0,DOGEUSDT,failed,drawdown_limit,181,-0.05920716913143098,-1.2480856679506398,0.15169342200477498,0.018956545572489235,0.0,0.03727879999999992
cql_no_inventory_penalty,1,47,0,ETHUSDT,failed,drawdown_limit,227,-0.08306011126844504,-2.277183610507654,0.15280596390242907,0.013756619379250387,0.0,0.03876978000000001
cql_no_inventory_penalty,1,47,0,LINKUSDT,failed,drawdown_limit,174,-0.08340792684303655,-2.6961256300979617,0.1539751421586515,0.015015389299227164,0.0,0.03735281000000007
cql_no_inventory_penalty,1,47,0,LTCUSDT,failed,drawdown_limit,181,-0.1033925316680222,-3.434008889341922,0.15186117279489875,0.015836640065093322,0.0,0.0477517999999999
cql_no_inventory_penalty,1,47,0,SOLUSDT,failed,drawdown_limit,174,-0.02884665380008633,-0.6948107306096598,0.15049909810773088,0.0165316879905528,0.0,0.035411600000000105
cql_no_inventory_penalty,1,47,0,XRPUSDT,failed,drawdown_limit,180,-0.1285993381065551,-4.633839892418913,0.15226029760268356,0.015679502670629158,0.0,0.03342929000000004
cash,1,20260917,0,ADAUSDT,complete,,599,0.0,,0.0,-0.0,0.0,0.0034297399999999997
cash,1,20260917,0,AVAXUSDT,complete,,599,0.0,,0.0,-0.0,0.0,0.0028645199999999993
cash,1,20260917,0,BNBUSDT,complete,,599,0.0,,0.0,-0.0,0.0,0.002692459999999995
cash,1,20260917,0,BTCUSDT,complete,,599,0.0,,0.0,-0.0,0.0,0.002800419999999997
cash,1,20260917,0,DOGEUSDT,complete,,599,0.0,,0.0,-0.0,0.0,0.005270859999999996
cash,1,20260917,0,ETHUSDT,complete,,599,0.0,,0.0,-0.0,0.0,0.004410179999999987
cash,1,20260917,0,LINKUSDT,complete,,599,0.0,,0.0,-0.0,0.0,0.0026215799999999997
cash,1,20260917,0,LTCUSDT,complete,,599,0.0,,0.0,-0.0,0.0,0.00273516
cash,1,20260917,0,SOLUSDT,complete,,599,0.0,,0.0,-0.0,0.0,0.0027572799999999995
cash,1,20260917,0,XRPUSDT,complete,,599,0.0,,0.0,-0.0,0.0,0.00273222
constant_long,1,20260917,0,ADAUSDT,failed,drawdown_limit,175,-0.05762213107055414,-1.605021572746502,0.15590466644013412,0.016173985854881896,0.0,0.008624939999999904
constant_long,1,20260917,0,AVAXUSDT,failed,drawdown_limit,173,-0.07230562528548168,-1.8720119950443572,0.15234816725488876,0.015948858911291868,0.0,0.00280816
constant_long,1,20260917,0,BNBUSDT,failed,drawdown_limit,284,-0.11700891394152335,-2.3220962094215007,0.16095276322640106,0.015167672378213792,0.0,0.0024370200000000033
